LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
879,2705,143067,21,23,4,18.9,13.1,2.6,21.4,"£36,692"
879,2706,113327,12,23,2,10.2,12.6,1.6,19.4,"£37,651"
879,2707,113328,10,13,4,8.5,7.2,2.1,23.5,"£36,231"
879,2708,143306,18,29,10,16.4,14.1,3.6,17.9,"£33,058"
879,2724,143476,24,21,7,22.3,15.1,5.3,18.3,"£34,473"
879,2729,132215,25,12,8,21.9,8.0,6.0,18.1,"£35,671"
879,2730,143308,20,41,14,18.8,17.5,5.8,21.4,"£35,042"
879,3159,113416,22,21,3,17.7,11.4,2.4,24.5,"£38,469"
879,3160,113417,12,18,2,10.2,8.5,1.7,20.4,"£38,375"
879,3161,113418,17,20,9,13.6,11.1,3.3,27.3,"£39,361"
879,3162,142443,12,13,1,10.0,5.8,1.0,18.8,"£30,952"
879,3757,113483,9,14,2,8.4,4.9,1.6,17.5,"£37,080"
879,3759,113485,13,12,6,10.5,7.0,3.2,19.4,"£36,831"
879,3760,113486,9,8,8,8.4,6.5,3.3,18.5,"£32,937"
879,3761,140726,18,20,5,13.3,10.4,2.3,19.8,"£34,444"
879,3762,140730,12,15,3,10.7,9.4,1.8,17.4,"£34,818"
879,3763,140785,10,8,5,7.3,4.4,2.7,14.1,"£34,988"
879,3765,140764,11,14,4,10.0,9.0,1.6,18.9,"£34,960"
879,3766,140784,10,9,5,8.8,5.2,2.6,19.5,"£36,406"
879,3767,142545,20,19,12,18.1,16.0,7.2,24.7,"£33,130"
879,3768,142849,36,39,5,30.6,24.0,4.6,21.8,"£36,384"
879,3769,143305,13,14,3,13.0,9.3,1.7,24.3,"£31,700"
879,3770,143311,20,28,5,17.2,19.1,4.8,23.7,"£36,420"
879,3771,143474,20,20,5,14.2,11.4,3.5,28.3,"£38,985"
879,3772,135348,36,54,10,33.1,36.5,7.8,17.1,"£37,311"
879,3774,143615,29,26,5,25.7,15.3,4.2,20.0,"£35,870"
879,3775,135351,29,38,10,22.3,19.8,6.9,19.8,"£36,531"
879,3777,135853,24,28,9,18.2,19.2,4.3,18.8,"£35,621"
879,4000,139432,9,1,5,7.8,0.9,4.4,9.4,"£33,201"
879,4001,139923,61,47,33,53.8,32.8,22.4,16.8,"£33,054"
879,4002,140693,35,23,12,32.4,19.5,10.1,13.3,"£42,602"
879,4003,142116,15,0,5,11.4,0.0,4.3,13.5,"£37,642"
879,4004,144760,16,3,3,11.9,2.8,2.5,11.6,"£36,528"
879,4152,136588,57,5,22,50.9,3.6,19.1,16.1,"£41,010"
879,4155,113532,50,8,20,39.8,6.2,15.6,19.9,"£39,717"
879,4172,113533,51,22,34,47.3,19.3,28.9,15.4,"£41,578"
879,4178,136556,47,13,28,43.0,9.5,22.6,17.8,"£41,340"
879,4179,136557,83,24,34,78.1,16.6,30.3,15.9,"£40,659"
879,4180,136568,98,37,43,88.3,25.5,34.2,16.7,"£42,122"
879,4181,136558,67,12,23,58.1,10.4,19.3,16.9,"£40,661"
879,4185,140104,65,34,43,56.2,22.4,30.9,16.4,"£40,720"
879,4186,137206,88,37,37,75.9,20.2,28.9,16.4,"£38,981"
879,4187,136668,79,36,38,71.4,24.2,29.0,15.2,"£39,592"
